,뉴스제목,주가변동
245,국내 주식형 비중이 절반…ETF 시장 편식 여전,0
246,"DLS 대란에…금감원, 증권사 수수료 체계 일제 점검",0
247,흔들리는 금융허브 홍콩… 그 뒤엔 중국?,0
248,"전자 팔아 SDI 샀다…외국인, 삼성그룹株 '종목 교체'",0
249,하락장서 치솟는 '배당주'의 매력,0
250,美 장단기금리 또 역전…지소미아와 파월,0
251,"""불확실성 시기에는 낙폭 과대주에 관심을""",0
252,비둘기 발언 내놓을까···장단기금리 또 역전에 혼조,0
253,제조업 급랭에 금리역전…다우↑·S&P↓,0
254,美파월의 '입' 주시 속…하락,0
255,3대 지수 하락…파월 연설 관망+中 관세 위협,0
256,코스닥 상승 덕에 레버리지ETF 수익률 `점프`,0
257,日 2차보복·MSCI 재조정…다음주도 악재 가득,0
258,'매파'에 힘싣는 연준…잭슨홀 연설 앞둔 증시 관망세,0
259,지소미아 종료와 위안화 절하…원·달러 환율 상승,0
260,자고 나면 美 금리 방향이 나온다,0
261,"코스피, 잭슨홀 연설 앞두고 부담감 상승…약보합",0
262,국내 주식형 비중이 절반…ETF 시장 편식 여전,0
263,"DLS 대란에…금감원, 증권사 수수료 체계 일제 점검",0
264,흔들리는 금융허브 홍콩… 그 뒤엔 중국?,0
265,"전자 팔아 SDI 샀다…외국인, 삼성그룹株 '종목 교체'",0
266,하락장서 치솟는 '배당주'의 매력,0
267,美 장단기금리 또 역전…지소미아와 파월,0
268,"""불확실성 시기에는 낙폭 과대주에 관심을""",0
269,비둘기 발언 내놓을까···장단기금리 또 역전에 혼조,0
270,제조업 급랭에 금리역전…다우↑·S&P↓,0
271,美파월의 '입' 주시 속…하락,0
272,다우·S&P500지수만 상승세…미중 무역전쟁 관망,0
273,소비진작도 소용없이…中 증시 속락,0
274,'기술적 반등' 원·달러 2.70원 오른 1213.90원,0
275,"코스피, 기관 매수에 1940선 상승…코스닥도 600선 회복",0
276,증시는 웃었지만…곳곳 檢압수수색 지뢰밭,0
277,기관 매수 늘면서 코스피 시장 상승세,0
278,외국인 매수 늘면서 코스닥 시장 상승세,0
279,8년만 무분규 임단협에 현대차·기아차 2%대 강세,0
280,"""중국, 홍콩에 무력 개입하면 한국 수출도 타격 불가피""",0
281,"12년래 최대폭 금리역전…""1년내 경기침체"" 경고",0
282,"저금리 시대, 생각하는 개미는 이렇게 투자한다",0
283,무차별 ‘찬바람’ 불던 바이오株…“너무 빠졌나” 반등 서막,0
284,“재선 위해 소비심리 자극해야 하는 트럼프에 주목해야”,0
285,미국 장단기 금리 역전 지속…약보합 출발 전망,0
286,역전폭 12년 만 최대···다우 등 하락,0
287,'경기침체 신호'에 출렁…다우 0.5%↓,0
288,美中무역협상 재개 기대감…상승,0
289,다우·S&P500지수만 상승세…미중 무역전쟁 관망,0
290,소비진작도 소용없이…中 증시 속락,0
291,'기술적 반등' 원·달러 2.70원 오른 1213.90원,0
292,"코스피, 기관 매수에 1940선 상승…코스닥도 600선 회복",0
293,증시는 웃었지만…곳곳 檢압수수색 지뢰밭,0
294,기관 매수 늘면서 코스피 시장 상승세,0
295,외국인 매수 늘면서 코스닥 시장 상승세,0
296,8년만 무분규 임단협에 현대차·기아차 2%대 강세,0
297,"""중국, 홍콩에 무력 개입하면 한국 수출도 타격 불가피""",0
298,"12년래 최대폭 금리역전…""1년내 경기침체"" 경고",0
299,"저금리 시대, 생각하는 개미는 이렇게 투자한다",0
300,무차별 ‘찬바람’ 불던 바이오株…“너무 빠졌나” 반등 서막,0
301,“재선 위해 소비심리 자극해야 하는 트럼프에 주목해야”,0
302,미국 장단기 금리 역전 지속…약보합 출발 전망,0
303,역전폭 12년 만 최대···다우 등 하락,0
304,'경기침체 신호'에 출렁…다우 0.5%↓,0
305,美中무역협상 재개 기대감…상승,0
306,미중 '맞불관세'에 혼조세,0
307,얼어붙은 증시...코스피 거래대금 2.8조원으로 '뚝',0
308,뉴욕 휴장 앞두고 한산한 시장…환율 0.40원↓,0
309,"코스피, 기관 매수에 강보합…1970선 '목전'",0
310,"LG화학-SK이노 배터리 소송전…증권가 ""성장통""",0
311,끝나지 않는 희망고문 '미중 무역협상',0
312,여전한 불확실성…그래도 담을 종목은 있다,0
313,"증권가, 삼성重 투자의견 '상향'…흑자전환은 '아직'",0
314,美연준 '경기 동향 보고서' 5일 발표,0
315,미중 '맞불관세'에 혼조세,0
316,얼어붙은 증시...코스피 거래대금 2.8조원으로 '뚝',0
317,뉴욕 휴장 앞두고 한산한 시장…환율 0.40원↓,0
318,"코스피, 기관 매수에 강보합…1970선 '목전'",0
319,"LG화학-SK이노 배터리 소송전…증권가 ""성장통""",0
320,끝나지 않는 희망고문 '미중 무역협상',0
321,여전한 불확실성…그래도 담을 종목은 있다,0
322,"증권가, 삼성重 투자의견 '상향'…흑자전환은 '아직'",0
323,美연준 '경기 동향 보고서' 5일 발표,0
324,한국캐피탈 등급전망 `긍정적` 상향…`A-` 유지,0
325,"""車 업황 악화 지속, 증권업종은 위험투자 확대 부담""",0
326,롯데건설 신용등급 `A+`로 한 단계 상향,0
327,개발이익은 재산 아니다? 분양가 상한제 적용 기준 논란,0
328,"행정공제회, 英언론 선정 '한국 최고 기관투자가상'",0
329,"분양가상한제 적용 언제, 어디? 열쇠는 ‘주정심’",0
330,분양가 통제하자 쓱 높아진 강남 아파트 옵션가,0
331,부동산시장 불쏘시게 '민간택지 분양가 상한제' 시행할까,0
332,"설익은 분양가상한제…재건축 반등, 전셋값 자극",0
333,'스몰딜' 이뤄질까…미중 무역협상 기대감에 반등,0
334,혼조세 출발...英 0.14% 상승,0
335,부진한 투자 심리…원·달러 환율 상승,0
336,국채 금리 소폭 하락…연일 등락 반복,0
337,"코스피, 두 달여 만에 2100선 회복…13거래일 연속 상승",0
338,"코스피, 기관 '사자'에 2100선 회복…13일 연속↑",0
339,코스피 2100선 회복…찬물 끼얹은 '헬'릭스미스,0
340,이틀째 하락..헬릭스미스 하한가,0
341,"피치 ""무역분쟁 여파에도 韓 신용등급 관리 가능""",0
342,"2주 뒤 만날 美·中, 스몰딜 기대에 반등",0
343,"반도체 3Q '보릿고개' 넘는다…삼성전자, 연초 대비 27%↑",0
344,코스피 하락 출발 후 상승 전환,0
345,먹구름 낀 유럽…원·달러 환율 영향은,0
346,실적시즌 앞둔 증시…눈 여겨볼 업종은?,0
347,"""유럽 경제 부진 확인""…헬릭스미스 美3상 결과분석 연기 등 종목 '재료'도 심각",0
348,"정의선 ""2024년 혼자 움직이는 자율주행차 양산""",0
349,"文대통령·트럼프, 정상회담 시작…""3차 북미 정상회담 준비 실무 협상 기대”",0
350,韓주식형펀드 13거래일만 4억원 순유입,0
351,獨 PMI 10년여 만에 최저···경기둔화 우려에 혼조,0
352,"아주하이텍, 매각 본격화… 내달 11일 예비입찰",0
353,엇갈린 美·獨 제조업 경기에 갈팡질팡,0
354,"우본, 선진국 임대주택에 2억달러 출자",0
355,독일 제조업 침체에 뚝…스톡스 0.8%↓,0
356,'셰일패권' 열올리는 美… 화학업계 생존전쟁 불붙는다,0
357,경기침체 우려 부각…獨·佛 1%대 하락,0
358,유로존 침체우려 일제히 하락…DAX지수 1% 넘게 빠져,0
359,농심(農心)이냐? 재정이냐?…공익형직불제 '쩐의 전쟁',0
360,말많은 농업 직불제…'하박상후' 고친다,0
361,"""이대론 안된다"" 쌀 직불제 손보는 이유?",0
362,"'공익형직불제' 법안 보니...작물차등 없고, 소농 중심",0
363,"""CJ그룹 전체 신용도, CJ대한통운에 달렸다""",0
364,'탄핵' vs '무역갈등 완화'에 갈팡질팡,0
365,국고채 시장 혼조세 마감…관망세 'UP',0
366,"""IFRS 17 도입하는 생보업계…수익성·리스크 관리가 관건""",0
367,연기금 덜 샀더니 바로 힘빠지는 韓증시,0
368,"美 달러화, 中 위안화 동시 강세…갈팡질팡한 환율",0
369,"코스피, 2070선 강보합세…개인 순매수",0
370,"코스피, 美증시 상승 불구 강보합 마감",0
371,미중 무역협상 기대에 나흘만에 반등,0
372,바이오업종 이제 '바닥' 찍었나…코스닥 제약지수 '반등',0
373,무역긴장 완화 소식에 상승,0
374,"코스피 상승 출발···개인 매수에 장중 2,080선 회복",0
375,‘트럼프 효과’에 급등한 달러…1달러=1200원 진입할까,0
376,"트럼프 탄핵보다 무역협상 '굿뉴스'에 시장 반응, 증시 ↑",0
377,트럼프 탄핵이슈가 불러올 파장,0
378,美재고 증가에 하락…WTI 1.4%↓,0
379,트럼프 탄핵 우려에 하락 마감..스톡스 0.54%↓,0
380,"""무역협상 낙관"" 뉴욕증시↑…文 ""평화·개혁 '변화의 몸살' 겪어야""",0
381,"민주당, 탄핵추진에도 무역협상 훈풍에 상승 마감",0
382,韓채권형펀드 5거래일간 6000억원 순유출,0
383,"SK네트웍스, 코웨이 인수 저울질… 아사아나 포기하나",0
384,"""무역협상 빨리 끝날수도"" 트럼프 한마디에 랠리",0
385,트럼프 탄핵 우려에 '하락',0
386,'트럼프 탄핵조사'에 일제약세…스톡스 0.6%↓,0
387,"빅이슈 떠오른 트럼프 탄핵, '우크라 스캔들'이란",0
388,트럼프 탄핵 추진에 일제히 하락,0
389,학자금대출 '2천조' 美도 골치…깎아주고 안받고,0
390,"행공, 해외 블라인드 PEF 선정…베리타스·아디안·HPS",0
391,日 장기물 하락 영향…일제 약세,0
392,"""주택자금 금리는 낮춰주면서""…학자금 대출은 왜?",0
393,단독]매년 2000여명 학자금대출 못갚아 '소송',0
394,단독]'월평균 9만원' 학자금 못갚아 신용유의자 된 청년 1.7만명,0
395,"하이네켄, 신흥국 시장 점유율 확대",0
396,美증시 中기업 퇴출설 가짜? '안도',0
397,호주 기준금리 0.75% 사상최저…원화 약세,0
398,디플레이션 우려에 발목 잡힌 코스피...소폭 상승 마감,0
399,주요국 증시 장 초반 상승…獨 0.46%·佛 0.28%↑,0
400,"코스피, 기관 강한 매수세에 2070선 안착",0
401,코스피 2070선 올라...코스닥 1.6% 상승,0
402,사흘 만에 1%대 상승..시총 상위 바이오株↑,0
403,"VIG파트너스, 교육 업체 디쉐어 1650억원에 인수",0
404,美 '中기업 퇴출 부인' 보도에 안도 랠리,0
405,"코스피 하락 출발 후 상승 전환…장중 2,070선 회복(종합2보)",0
406,하락 출발한 코스피...기관 매도에 약세장,0
407,갈팡질팡 환율…1달러=1200원 아래서 등락할듯,0
408,코스피 숨고르기…9월 상승 이어갈까 '촉각',0
409,미·중 협상 결렬에 대비하는 트럼프 행정부,0
410,중동 지정학 리스크 완화되며 하락..WTI 3.3%↓,0
411,유로존 '최저 실업률' 호재..혼조 마감,0
412,中 투자차단 우려 감소에 상승 마감,0
413,로존 실업률 11년만에 최저…獨·佛·伊 상승 마감,0
414,경기 동행지수와 선행지수의 차별화… “유의미한 경기회복은 시기상조”,0
415,"北 유엔대사 ""북미협상, 기회인지 위기인지 미국이 결정해야""",0
416,"韓주식형펀드, 사흘간 1300억원 순유출",0
417,백악관 '中기업 퇴출' 부인에 반등…S&P 0.5%↑,0
418,유로존 실업률 하락에 랠리…스톡스 0.4%↑,0
419,"""7개 국감장 소환""…조국만 괴로운 게 아니다",0
420,미·중 무역긴장 주시하며 혼조세,0
421,"SJ그룹, 증권신고서 제출…코스닥 상장 추진",0
422,"코리아센터, 증권신고서 제출…코스닥 상장 추진",0
423,"GC녹십자웰빙, 청약경쟁률 657.66대1…증거금 3조3442억원",0
424,시장 악재된  美제조업 PMI·홍콩발 실탄,0
425,"LPG 탱크 제조업체 KPP, 스토킹호스로 재매각 추진",0
426,미 제조업 지수 부진에 국채 금리 일제히 하락,0
