뉴스제목,주가변동
"""두달 뒤 제3인터넷銀 인가신청…다우기술·미래테크·한국정보인증 주목""",0
변동성 확대에 초분산투자 EMP펀드 인기,0
빚내서 주식 산 개미...코스닥 '손절매냐 보유냐' 고심,0
"헬릭스미스, 내달 유전자 치료제 임상 3상 탑라인 발표 기대-부국",0
"셀트리온, 7% 급락…20개월만에 시총 20兆 아래로",0
끝을 알 수 없는 추락,0
불황 탓에?…회사 팔고 떠나는 코스닥 창업주들,0
한·미 연합훈련…북 추가도발 우려에 대북株 털썩,0
증권사 보고서에 주가 출렁이는 기업들,0
증시 보수적 대응 필요..배당주엔 관심,0
"코스닥 외국인 순매수,도 상위20종목",0
"일본 불매 수혜株, 개인 매수에 나홀로 급등…`투자주의보`",0
장마감 후 주요 종목 공시,0
3S(060310)소폭 상승세 +4.35%,0
시커먼 월요일…3년 2개월 만에 1940선 '털썩',0
코스닥-2일,0
52주 신고가 종목,0
5일 장 마감 후 주요 종목 뉴스,0
美中 분쟁격화·요동친 환율…亞 증시 일제히 `파란 불`,0
中에 공넘긴 트럼프...이번주 코스피 1980~2080선 등락,0
"코스피·코스닥 동반 급락…전문가들 ""여전히 보수적 접근 필요""",0
"""바이오 악재 여전히 진행중…엑소더스 현상 가속화 전망""",0
'환율급등· 외인매도'에 코스피 1960대 추락,0
코스피 급락 가속화 1960선 `추락`…2년 8개월래 `최저`,0
"동부건설, 잠원동 한강변 마지막 금싸라기땅에 아파트 짓는다",0
"""금융위기 악몽 떠올라""…코스피 2%↓·코스닥 사이드카 발동",0
연기금 `코스피 구하기` 5200억 퍼붓고도…,0
코스피 폭락에 신저가 종목 속출,0
"증시 하락에 ‘공매도 공포’ 확산… 상장사들 ""주식대여 금지해달라"" 주주들에 호소",0
'신라젠 후폭풍'에 제약·바이오株 연일 약세,0
"반등하다 다시 무너진 바이오株 …""이제 무릎 수준"" vs ""지금도 비싸다""",0
종목의 저점부터 확인하자!,0
증시 폭락 속 고공행진 ‘하이트진로’…“테라 돌풍+애국테마”,0
"진퇴양난 韓증시…정부 ""컨틴전시플랜 시기상조""",0
코스닥 상승률 상위 50종목,0
'곡소리' 나는 주식 팔고…金·채권형펀드 안전자산으로 대피,0
美-中 무역전쟁 공포에 수출주 주도 급락,0
"`우연일까 필연일까` 바이오株, 폭락 전 반복되는 전조현상",0
"신라젠, 3일째 하한가 직행 후 낙폭 축소…제약·바이오도 진정되나",0
영화도 불매...항일전쟁 영화 관심 폭발 vs 일본 애니매이션 참패,0
3S(060310)소폭 상승세 +4.25%,0
"""코스피 2차지지선 1870…투자심리 진정되면 2089 복귀 가능성""",0
"변동성완화장치(VI) 발동 종목, 발동횟수 기준",0
3% 급락…심리적 지지선 550선 턱걸이,0
"악재가 끊이지 않는 증시…""부진한 흐름 지속""",0
폭락장 속 애국株·가상화폐株 동반 강세,0
기관 1조 순매수에도…코스피 1910선으로 '털썩',0
"마니커(027740)소폭 상승세 +3.89%, 외국계 매수 유입",0
1억원 이상 매수체결 상위 20 종목(코스닥),0
"수산株, 국내산 수산물 수요 증가 기대에 동반 '급등'",0
"외국인, 지난주 셀트리온·SK 등 순매수…신라젠도 강세",0
금 모으기 대신 주식 사모으기 운동? 어림없는 소리~,0
'바이오株 추락' 코스닥 시총 순위 지각변동...옥석은?,0
불확실성 높아진 8월 증시…배당주 매력↑,0
"삼성바이오로직스, 급등…첨단 배양기술로 생산기간 단축",0
장중 주요 종목 공시,0
"""틈을 노려라""… 상한제 시행에 신축 분양·입주권에 쏠리는 눈",0
9일 장 마감 후 주요 종목 뉴스,0
코스닥-9일,0
회복력 테스트,0
DHC `혐한방송` 논란에 국내 화장품株 동반 `강세`,0
"8월 12일 코스닥, 4.13p 오른 594.17 마감(0.70%↑)",0
4일째 올라 600선 코앞…개미의 힘,0
"손해보험株, 손해율 상승과 실적둔화 우려에 약세",0
종가 동시호가 특이 종목(코스피/코스닥),0
증시요약(8) - 기술적 분석 특징주 B(코스피),0
"한국콜마, 윤동한 회장 사퇴에도 52주 신저가",0
▶영업이익 1조원! 빛나는 실적株 무료공개 단돈 1천원대!,0
사실상 `매도`…증권사 목표가 대폭 하향 종목 `속출`,0
오전장 특징주★(코스피),0
"""여전한 불확실성…진바닥은 어디""",0
오전장 기술적 분석 특징주 B(코스피),0
"외국인, '코스피 -4.9%' 7월에 韓주식 샀다…주식·채권 합쳐 1조6020억원 순투자",0
"코스닥, 추가 반등 모멘텀 부족…580선 하락 출발",0
中위안화 안정·부양책 기대감에 1940선 탈환,0
오후장 특징주★(코스피),0
美 추가 관세 일부 연기 결정에 강한 랠리,0
"코스닥 상장사 22곳, 상반기 재무제표 '비적정'…상장폐지 사유도",0
현재 국산화 관련주 보유중인 분들 긴장해야겠습니다.,0
"코스피, 11거래일 연속 外人 매도에 '1950' 탈환 실패",0
"뚝 떨어진 롯데그룹株, 살 때 됐나",0
관세보다 중요한 건 금리?,0
"텔레칩스, 삼성전자 日 파운드리 기술 발표 참여 소식에 '↑'",0
코스닥-13일,0
"""공모일정 미룰까""…얼어붙는 증시에 IPO 시장 `전전긍긍`",0
미중 분쟁 완화 기대에 1%대↑…장중 600선 `터치`,0
"램테크놀러지, 화평법 완화...日규제 불산 제조판매 탄력 기대감↑",0
자 보세요. 15분뒤 알아서 올라갑니다 이 종목,0
요즘 것들은 모르는 추억의 음료수 TOP 6!,0
日후쿠시마 원전 오염수 방출 이슈 부각…수산주 강세,0
"LB인베스트먼트, IPO 준비 재시동…'내년 목표'",0
구독자 1만명에 월 수입 20만원! 남의 말 듣지마라!,0
에이씨티·KJ프리텍·썬텍…코스닥 9社 `비적정 감사의견`,0
실전투자대회 6관왕 시황매매의 달인… 주식투자도 제대로 배워야 롱런 가능,0
"아이폰부품株, 중국 판매량 회복에 강세",0
오늘의 이슈&섹터 스케줄,0
5거래일 기준 누적상승률 상위 종목(코스피),0
코스피-13일,0
"거래소 ""영신금속, 개선계획 이행내역서 제출""",0
전일자 증권사 투자의견(하향),0
"美, 對中관세 일부 연기 소식에…상승",0
약세장서 신고가 카카오· 엔씨소프트·한화에어로…비결은 실적 성장,0
"바이오株, 동반 급반등…잇단 호재에 투심 개선",0
바이오株 강세에 610선 탈환…기관 '사자',0
판세 바뀐 코스닥…바이오 `지고` IT부품 다시 `뜨고`,0
청신호를 기다리며,0
3일 연속 상승…눈치보기에 강보합,0
국채 수익률 하락에 '뚝' 파월 지켜보자,0
"외국계 순매수,도 상위종목(코스피) 금액기준",0
"코스닥, 1%대 상승…기관 매수로 돌아서",0
1억원 이상 매도체결 상위 20 종목(코스피),0
"""한국 증시 최악 지나…가격 매력적""",0
코미팜(041960)소폭 상승세 +3.45%,0
"세미콘라이트·대창솔루션…이 와중에 '바이오사업' 진출, 왜",0
전일자 증권사 투자의견(상향),0
"조선기자재株, 조선주 힘입어 기지재",0
증시요약(7) - 기술적 분석 특징주 A(코스피),0
이어지는 '관망' 흐름,0
"애경유화, 애경그룹 GS그룹에 아시아나 공동인수제안 소식에↑",0
"코스닥, 600선서 보합권 출발…기관·외국인 '팔자'",0
코스닥-21일,0
현대바이오(048410)소폭 상승세 +3.95%,0
코미팜(041960)소폭 상승세 +4.05%,0
"큐로컴, 에이즈백신 상용화 부각↑…자회사 스마젠 임상2상용 GMP생산 착수",0
"코오롱, ""인보사 효능 영향없다"" 美논문 발표에 '급등'",0
소매 업계 실적-주택 지표 호조에 UP,0
"바닥 찍은 증시, 낙폭과대주 노려라",0
엑사이엔씨(054940)소폭 상승세 +5.43%,0
"애경산업(018250)소폭 상승세 +3.85%, 외국계 매수 유입",0
美경기침체 우려에도 뉴욕증시 상승,0
공은 또 다시 연준으로,0
"헬릭스미스(084990)소폭 상승세 +3.04%, 10거래일째 상승",0
"유지인트(195990)소폭 상승세 +4.71%, 52주 신고가",0
"SK바이오팜 ""연내상장""…바이오株 약될까",0
외국인·기관 쌍끌이 매도에 코스피·코스닥 하락 마감,0
"카페24(042000)소폭 상승세 +3.31%, 외국계 매수 유입",0
"도이치모터스(067990)소폭 상승세 +3.08%, 나흘째 상승",0
"""G2 무역분쟁으로 인한 신흥국 통화가치 절하…수출반등 모색가능""",0
"낮아지는 실적 눈높이, 제한적인 지수 움직임",0
"웹젠, '뮤' IP 흥행 순항...목표가↑-신한금융투자",0
"""배당주 매력 어느 때보다 높아졌다""",0
국민연금 배당주 투자 확대…금융·반도체·화학株 수혜-KTB,0
플리토(300080)소폭 상승세 +4.70%,0
나흘만에 하락…美 금리인하 기대 약화,0
잭슨홀 미팅 주시…1%대 상승,0
"우진, 후쿠시마 바닷물 128만t 방류…세슘 제염설비 부각 '강세'",0
제이엔케이히터(126880)소폭 상승세 +5.05%,0
"伊 강한 랠리, 자동차 섹터 주도 상승",0
"이엠코리아(095190)소폭 상승세 +3.87%, 나흘째 상승",0
‘日후쿠시마 바닷물 국내 해역 방류’ 의혹...우진 ‘강세',0
"남영비비안, '경영권 매각 불확실' 공시에 약세",0
"테고사이언스, `칼로덤` 당뇨병성족부궤양 건강보험 확대적용 `上`",0
5거래일 기준 누적상승률 상위 종목(코스닥),0
무역전쟁에 美 재정·경제 ‘피멍’ 트럼프 또 연준 탓,0
에프티이앤이 본입찰 참가자 없어…톱텍 품에 안기나,0
"남영비비안 ""경영권매각 추진설 확정사항 없다""",0
"잭슨홀 미팅 관망세..코스닥, 2거래일째 하락",0
"바이오주, 호재에도 요지부동…“기대감 상승 시대 저물다”",0
뿌리가 튼튼해야 나무도 성장한다,0
외국인 투자자들 방산株로 몰리는 까닭,0
"삼륭물산, 일본 독점 깬 GB-8로 세계 1위 제품 노린다…산업계 '러브콜'",0
코스닥-22일,0
‘미래 먹거리’ 수소사업 진출로 주가 날개 달까,0
지소미아 연장 종료…한국 증시 영향은?,0
"""국민연금 스튜어드십 코드 1년…대림산업·셀트리온·네이버 등 22개종목 배당성향 제고 가능성""",0
제조 경기 위축-연준 매파 발언에 혼조,0
"일지테크, '꿈의 소재' 탄소섬유 전략물자…지소미아 종료 반사익",0
"""불확실성 시기에는 낙폭 과대주에 관심을""",0
"""오른다 오른다"" 증권가 장밋빛 전망…통신株 반등은 언제",0
지소미아 카드 꺼내든 정부…애국테마주 다시금 강세,0
"""저가매수는 가장 확실한 전략…최대실적, 저평가, 배당주 선별""",0
"코스피, 개인 매도세에 1950선 붕괴",0
코스피-22일,0
"국내 증시, 지소미아 종료보다 파월 의장 영향력 클 듯",0
탄소섬유 국산화 가속화 기대에 에이테크솔루션 등 '강세',0
'1800 후퇴 VS 제한적 영향' 韓 증시 엇갈린 전망,0
"토박스코리아, 지소미아 종료에 ↑…국내 신발편집샵 '슈마커' 납품 부각",0
"코스피, 지소미아 종료에도 무덤덤…'약보합'",0
바이오株 급등세에 2%대 상승..600선 회복,0
7월 주식·회사채 17조 발행…전월比 17.6%↑,0
"바이오株, 잇단 악재 노출에 불확실성 해소?…동반 '급등'",0
MSCI 리밸런싱 종료…1940선 '껑충',0
현대차 임단협 합의에 자동차 부품주株도 강세,0
"카카오·엔씨…외국인들은 지금 ""I♥SW""",0
"日 이어 北도 방사능오염수 유출 우려..나노메딕스, 정수설비 부각↑",0
"전강후약, 일드커브 역전-무역 불확실성",0
벼랑끝 티슈진 `개선기간` 동아줄 잡을까,0
바이오株 훈풍에도 신라젠 홀로 급락…시총 39위로 뚝,0
27일 장 마감 후 주요 종목 뉴스,0
"신라젠, 검찰 압수수색에 ‘급락’…1만원대 무너져",0
"코스닥, 장단기 금리 역전 심화에도 상승 출발",0
“재선 위해 소비심리 자극해야 하는 트럼프에 주목해야”,0
400% 저평가 초 바닥 작년에도 이때부터 모았다! 종목 공개!==] 무료신청!,0
증시요약(6) - 특징 상한가 및 급등주,0
"""삼성디스플레이, 화웨이에 OLED패널 공급 확대…관련업체 수혜 기대""",0
"신라젠, 압수수색 소식에 하한가",0
伊 새연정 기대·中 자동차 구매 규제 완화에 상승,0
인트론바이오가 쏘아올린 공…바이오 일제히 화색,0
"코스피·코스닥, 오후 들어서도 상승 흐름 유지",0
대통령 전용차에 수소차 넥쏘 채택…관련주 급등,0
전월 月평균 수익률 839%! 9월 목표 900% 지금부터 모아야 할 때!,0
"더들리의 준엄한 경고…""美연준, 트럼프에 협조 말라""",0
"'2兆 썰물' 외국인, 삼성SDI·카카오는 담았다",0
글로벌 경기침체 우려로 하락…다우 0.47%↓,0
코미팜(041960)소폭 상승세 +4.07%,0
"코스피, 이틀 연속 오르며 1940선 마감… 코스닥 4거래일 만에 600선 회복",0
"LG화학, 테슬라 배터리 공급…2차전지 관련주 ‘고공행진’",0
불황에 끄떡없는 '깜짝실적株' 찾아라,0
'바이오 신뢰회복' 관건…헬릭스믹스에 달렸다,0
교통을 보면 집값이 보인다… '로또 아파트' 어디 숨었을까,0
2분기 실적호조…中기업 '차이나 디스카운트' 털어낼까,0
낙관보다는 방어적 관점이 필요하다,0
"코오롱생명과학, 임상3상 허위공시 논란에 약세",0
끝나지 않는 희망고문 '미중 무역협상',0
2일 장마감 후 주요 종목 뉴스,0
이재현 회장 장남 마약 밀반입 검거… CJ그룹株 약세,0
"에스에이엠티(031330)소폭 상승세 +3.20%, 외국계 매수 유입",0
"2거래일 상승 코스피, 1970선 회복 코앞",0
'GTX 청약불패' 하반기 분양 단지는,0
시장불안 커지자…돈 몰리는 EMP펀드,0
"GRT, 순익 646억·'현금부자' 너무 싼 핵심소재업체",0
"코스피, 외국인 매도에도 1970선 상승세",0
"나노브릭, 주식등의 대량보유자 소유주식수 변동",0
"'정수기 카본 필터 최강자' 한독크린텍, 5일 코스닥 입성",0
"文 ""대입제도 전반 재검토""…입시교육업체↑",0
“美연준 위원들 발언 주목…韓증시 강세 전망”,0
유비쿼스홀딩스(078070)소폭 상승세 +3.07%,0
코스닥-30일,0
"""미·중 무역분쟁, 더 나빠질 것도 없지만 증시 상승 기대는 일러""",0
"바이오株, 헬릭 쇼크에 동반 약세…낙폭은 제한적",0
"헬릭스미스 쇼크…노한 개미, 노난 외국인",0
대형악재에도 시장은 평온…코스피 두달만에 2100 회복,0
코스닥-23일,0
이틀째 하락..헬릭스미스 하한가,0
"`임상실패, 더 이상 놀랍지 않다`…바이오株 무덤덤",0
코스피-23일,0
"현대차, 美 앱티브와 4.8조 규모 자율주행합작사 설립…관련株 강세",0
"""유럽 경제 부진 확인""…헬릭스미스 美3상 결과분석 연기 등 종목 '재료'도 심각",0
"코스피, 13일 연속 오르며 두 달 만에 2100선 회복… 코스닥 640선",0
기관의 매수는 계속된다,0
"코미팜, 주식등의 대량보유자 소유주식수 변동",0
"헬릭스미스, 임상3상 결과 발표 연기 소식에 '下'",0
"현대차, 美 합작법인 설립…자율주행株 ""담아볼까""",0
"코스닥, 이틀째 하락세..헬릭스미스 하한가",0
"한국항공우주, 文 대통령 美 무기 구매 발표에 약세",0
주요국 제조 경기 한파에 보합권 혼조,0
반도체 펀드 한달 수익률 10% '환호성',0
13일 연속 올라 2100선 돌파…최장랠리 '타이',0
이석중 라온피플 대표 “AI비전 기술 확장성 토대로 교통·의료 등 사업영역 확대”,0
아프리카돼지열병 또 확진에 백신·사료株 ‘급등’,0
연기금 VS 바이오,0
"헬릭스미스 3상 실망..""바이오주 하락시 일부는 저점 매수""-하나",0
"코스피, 12일 연속 상승 부담감…헬릭스미스 영향 제한적",0
"코리아에프티, 현대차 자율주행 본격투자… ADAS 알고리즘 개발",0
자율주행기술 업은 현대차그룹株 주가상승 시동거나,0
"한미정상회담 대북 철도주, 매수 준비 해야",0
서울 동북선 도시철도 착공 소식에 철도株 강세,0
"""악재 끝?""…반등하는 엔터株",0
트럼프 탄핵 리스크 저울질하며 'UP',0
26일 장 마감 후 주요 종목뉴스,0
"""유니퀘스트, 숨겨진 5G 수혜주…자회사 지분가치 주목""",0
미중 무역협상 기대에 나흘만에 반등,0
"대체육株, ASF 확산조짐에 강세…중국선 이미 인기",0
"자연과환경(043910)+6.33%, 이화공영 +4.04%, 코아스 +3.74%, 유진로봇 +3.12%",0
트럼프 탄핵이슈가 불러올 파장,0
"헬릭스미스, 기자간담회 뒤 거래 급증하며 낙폭 확대",0
"코스피, 2080선 회복...""미중 무역협상 조기타결 기대감""",0
나인컴플렉스 유상증자 등,0
"""지금이 LG전자 저가매수 기회""…계절성 반영한 주가 약세",0
"SK네트웍스, 코웨이 인수 저울질… 아사아나 포기하나",0
"동성제약, 췌장암 실험 성공에 강세",0
배당수익률 매년 '쑥쑥'… 찬바람 불기전 배당주펀드 들까,0
무역협상 호재에도 둔감한 코스피…2070선 제자리,0
제이스텍(090470)소폭 상승세 +3.36%,0
"거래소, 코스닥 미래산업 릴레이 IR 컨퍼런스 개최",0
"동성제약, 세계 첫 복강경 광역학 치료로 췌장암세포 사멸 확인…강세",0
방역 구멍에 길어지는 돼지열병 테마…단기과열 주의보,0
윌링스 / 에스티오 / 삼보판지,0
"코스피, 하락 전환…달러 강세 부담",0
"남선알미늄, 이낙연 국회 대정부질문 앞두고 급락",0
"샘표식품, 아프리카돼지열병 대체육 판매 기대감…""식물성고기 제조 핵심기술 확보""",0
"신한제3호스팩, 주식등의 대량보유자 소유주식수 변동",0
트럼프 탄핵 조사 착수에 2주 최저,0
비상장·혁신벤처 투자 BDC 도입… 코스닥도 30% 투자 가능,0
테마주 광풍의 끝은…최대주주 지분털기,0
"신한금투, `신한 에프앤가이드 5G 테마주 ETN` 신규 상장",0
"코스닥, 장중 1%대 상승..바이오株 급등세",0
"신라젠, 사상 최저가 찍고 급반등",0
사흘 만에 1%대 상승..시총 상위 바이오株↑,0
"바이오株, 에이치엘비發 호재에 투심 개선…동반 '급등'",0
30일 장 마감 후 주요 종목 뉴스,0
홍정욱 딸 대마 밀반입 소식에 테마주 동반 급락,0
"긴 터널의 끝 지났나…바이오株, 잇단 호재에 '환호'",0
"홍정욱 테마주, 딸 마약 밀반입 의혹에 동반 급락",0
"백악관 '금융 전쟁' 부인, IT 주도 상승",0
미·중 갈등 주시하며 英 제외 상승,0
"제이테크놀로지 감자, 신대양제지 분할등",0
"에이치엘비, 임상 3상 성공 여부 논란에도 이틀째 강세",0
"""상장사 실적, 올해까지 악화하고 내년부터 개선""",0
경기 동행지수와 선행지수의 차별화… “유의미한 경기회복은 시기상조”,0
"신라젠, 펙사벡 선행요법 임상1상 결과에 상한가",0
쎄노텍(222420)소폭 상승세 +3.14%,0
남자는 능력? 남자도 외모! '그루밍족' 늘고있다,0
"에스모 머티리얼즈(087730)소폭 상승세 +5.72%, 8거래일만에 반등",0
"삼양옵틱스, LIG넥스원 출신 신임 CFO 선임",0
중소형주와 소외주의 회복이 지속,0
"동양네트웍스 ""포르스 제1호 사모투자로 최대주주 변경 가능""",0
비상장주식의 양도소득세 - 2020년도부터 더 높아지는 세율,0
"""보험 사은품 대부분 법 위반…전기그릴 가격 알아보니 29만원""",0
에이치엘비發 임상성공 호재…바이오株 희망 불씨 살리나,0
中 국경절 코앞인데…국내 소비株 주춤한 이유는,0
'거꾸로 배팅' 개미…상승장서 울었다,0
우려와 기대의 반복 패턴,0
전문경영인 '주식 부자' 1위… 김기남 삼성전자 부회장,0
하루 만에 하락 전환…620선으로 뒷걸음질,0
제조경기 한파에 주요 지수 1%선 하락,0
코스피 2% 하락 마감…'2030선' 턱걸이,0
"오성첨단소재, 의료용 대마 효능 검증에 이틀째 급등",0
2일 장 마감 후 주요 종목 뉴스,0
코스닥-1일,0
"외국인·기관 동반 매도세 증시 급락…코스피, 2030선으로 `털썩`",0
북·미 비핵화 실무협상 확정에 경협株 ‘강세’,0
"대우부품, 자율차보다 수소전기 플라잉카 빠르다…현대차 수소기술 확장 투자",0
"정부, 자율주행 등 미래차에 내년 1조5000억 투자…관련株 강세",0
ASF로 대체육 수요 증가에 육계株 ‘강세’,0
"베일 벗은 'IPO 대어' 롯데리츠…""상장 후 배당수익률 6%대”",0
기관 매도에 코스닥 하락 출발...하루 만에 630선 밑으로,0
"제이스테판, 종속회사 (주)지오닉스(이)가 에이스우진주식회사 주식 취득 결정",0
美 경기우려에 2% 가까이 하락…다시 2030선,0
"SG(255220)+14.80%, 부산산업 +9.62%, 성신양회 +3.63%, 고려시멘트 +3.36%, 한일현대시멘트 +3.18%",0
PXG 공식 온라인몰 오픈… 신규 회원 선물 증정 이벤트,0
"경협주, 5일 미·북 비핵화 실무협상 진행 소식에 강세",0
"숨고르기 들어간 코스피..""핀테크·방위·中인바운드株""",0
3분기 실적발표 앞두고 업종별 희비…자동차 '웃고' 반도체 '울고',0
몸집 불린 한앤컴퍼니…국내 M&A 불붙나,0
8일 장 마감 후 주요 종목 뉴스,0
"올리패스, RNA치료제 기술이전으로 이익급증 기대…주가 재평가 시작↑",0
임상 결과에 널뛰는 바이오株…신중론 고개,0
'선박 수주' 물만난 조선주…명암 엇갈려,0
"크리스탈지노믹스, 노벨상 수상 ‘HIF-1α’기술 보유 부각↑",0
지분 5% 이상 슈퍼개미 72명…보유 주식가치 1조2400억,0
"코스피, 기관 순매수에 1% 이상 오르며 2040선 회복… 코스닥 630선",0
골든센츄리 유상증자 등,0
"10월 8일 코스피, 24.52p 오른 2046.25 마감(1.21%↑)",0
7일 장 마감 후 주요 종목 뉴스,0
상장사 지분 5% 이상 '슈퍼개미' 72명… 1인당 주식 172억원 보유,0
코스닥-7일,0
미중 협상-파월 연설 앞두고 소폭 하락,0
외국인 대량 매수에 1.3% 상승…거래대금 1년래 최대,0
키워드는 '美中협상·경기부진',0
"헬릭스미스, VM202 신경 재생 효과 확인…치료제 넘어 재생의약 잠재력",0
증시요약(2) - 코스닥 마감시황,0
지표 부진 속 美 금리 인하 기대에 상승,0
"코스피, 삼성전자 호실적에 1%대 상승...2040선",0
삼성전자 깜짝 실적에 2040선 안착,0
"외국인, 코스닥 2300억 순매수…'바이오·반도체·5G' 싹쓸이",0
"거래소, 세원물산에 개선기간 12개월 부여하기로",0
"KH바텍(060720)소폭 상승세 +3.74%, 닷새만에 반등",0
"코오롱생명과학, 인보사 국내 판매 재개 계획 부인에 약세",0
오전장 기술적 분석 특징주 A(코스피),0
"베셀, 정부·현대차 플라잉카 상용화 계획...수직이착륙 기술 부각↑",0
금리보다는 경기를 봐야 할 때,0
15일 장 마감 후 주요 종목뉴스,0
"외국인이 담는 코스닥, 반등세 이어지나",0
"코스피, 반도체株 기대감에 4일 연속 ↑...금리효과는 미미",0
잇단 호재에 게임株 '두근두근',0
작년에 너무 달렸나… 화장품ODM株 주가 반토막,0
3Q 어닝 시즌 출발 'GOOD' 강한 랠리,0
"신한금융투자, 스톡기프트 이용자에 유가증권 주는 이벤트 나서",0
석달 만에 650회복…美기업 실적기대,0
"삼성전자, 메모리 반도체 재고 급감중…목표가↑-SK",0
코스닥-15일,0
IT VS 중후장대 산업,0
"신한금투, `주식 주면, 주식 받는` 스톡기프트 이벤트",0
美 증시 호조에 훈풍…2080선 회복,0
골드만삭스 `매도` 의견에 헬릭스미스 주가 15% `뚝`,0
"알티캐스트, 휴맥스로 최대주주 변경 소식에 `급등`",0
